student_track_id,student_id,track_name,date_enrolled,track_completed,days_for_completion,completion_bucket
6982,276261,"Data Analyst",2022-06-03,0,NULL,NULL
6983,276262,"Data Scientist",2022-06-03,0,NULL,NULL
6984,276265,"Data Scientist",2022-06-06,0,NULL,NULL
6985,276274,"Data Analyst",2022-06-03,0,NULL,NULL
6986,276287,"Data Scientist",2022-06-03,0,NULL,NULL
6987,276291,"Data Scientist",2022-06-10,0,NULL,NULL
6988,276296,"Data Scientist",2022-08-15,0,NULL,NULL
6989,276296,"Data Analyst",2022-08-15,0,NULL,NULL
6990,276296,"Business Analyst",2022-07-28,0,NULL,NULL
6991,276298,"Data Scientist",2022-06-03,0,NULL,NULL
6992,276303,"Data Analyst",2022-06-03,0,NULL,NULL
6993,276312,"Data Scientist",2022-06-03,0,NULL,NULL
6994,276334,"Data Analyst",2022-06-03,0,NULL,NULL
6995,276340,"Data Scientist",2022-06-03,0,NULL,NULL
6996,276347,"Data Analyst",2022-06-03,0,NULL,NULL
6997,276350,"Data Scientist",2022-07-05,0,NULL,NULL
6998,276351,"Data Analyst",2022-06-03,0,NULL,NULL
6999,276355,"Data Analyst",2022-06-07,0,NULL,NULL
7000,276357,"Data Scientist",2022-06-03,0,NULL,NULL
7001,276383,"Data Scientist",2022-06-03,0,NULL,NULL
7002,276385,"Data Analyst",2022-06-03,0,NULL,NULL
7003,276397,"Data Analyst",2022-06-03,0,NULL,NULL
7004,276399,"Data Analyst",2022-06-03,0,NULL,NULL
7005,276400,"Data Scientist",2022-06-03,0,NULL,NULL
7006,276406,"Business Analyst",2022-06-03,0,NULL,NULL
7007,276411,"Data Scientist",2022-06-03,0,NULL,NULL
7008,276415,"Data Analyst",2022-07-13,0,NULL,NULL
7009,276416,"Data Scientist",2022-06-03,0,NULL,NULL
7010,276417,"Data Analyst",2022-06-03,0,NULL,NULL
7011,276420,"Data Analyst",2022-06-03,0,NULL,NULL
7012,276424,"Data Analyst",2022-06-03,0,NULL,NULL
7013,276425,"Data Analyst",2022-06-03,0,NULL,NULL
7014,276430,"Data Scientist",2022-06-03,0,NULL,NULL
7015,276438,"Data Analyst",2022-06-28,0,NULL,NULL
7016,276439,"Data Analyst",2022-09-16,0,NULL,NULL
7017,276439,"Business Analyst",2022-08-08,1,56,"31 to 60 days"
7018,276440,"Data Analyst",2022-06-03,0,NULL,NULL
7019,276441,"Data Analyst",2022-06-03,0,NULL,NULL
7020,276442,"Data Scientist",2022-06-04,0,NULL,NULL
7021,276443,"Business Analyst",2022-06-03,0,NULL,NULL
7022,276445,"Data Analyst",2022-08-15,0,NULL,NULL
7023,276447,"Data Analyst",2022-06-03,0,NULL,NULL
7024,276448,"Data Scientist",2022-06-03,0,NULL,NULL
7025,276452,"Business Analyst",2022-06-03,0,NULL,NULL
7026,276455,"Data Scientist",2022-06-03,0,NULL,NULL
7027,276461,"Data Scientist",2022-08-26,0,NULL,NULL
7028,276474,"Data Scientist",2022-06-04,0,NULL,NULL
7029,276474,"Data Analyst",2022-06-04,0,NULL,NULL
7030,276492,"Data Analyst",2022-06-04,0,NULL,NULL
7031,276495,"Data Analyst",2022-08-11,0,NULL,NULL
7032,276509,"Data Analyst",2022-06-04,0,NULL,NULL
7033,276510,"Business Analyst",2022-06-20,0,NULL,NULL
7034,276516,"Data Analyst",2022-06-04,0,NULL,NULL
7035,276525,"Data Analyst",2022-06-04,0,NULL,NULL
7036,276527,"Data Analyst",2022-06-04,0,NULL,NULL
7037,276536,"Data Scientist",2022-06-04,0,NULL,NULL
7038,276539,"Data Analyst",2022-06-30,0,NULL,NULL
7039,276542,"Data Scientist",2022-06-12,0,NULL,NULL
7040,276542,"Data Analyst",2022-06-04,0,NULL,NULL
7041,276544,"Data Analyst",2022-06-04,0,NULL,NULL
7042,276549,"Data Scientist",2022-06-04,0,NULL,NULL
7043,276554,"Data Analyst",2022-06-04,0,NULL,NULL
7044,276560,"Data Analyst",2022-06-04,0,NULL,NULL
7045,276563,"Data Analyst",2022-06-04,0,NULL,NULL
7046,276580,"Data Scientist",2022-06-04,0,NULL,NULL
7047,276584,"Data Analyst",2022-06-04,0,NULL,NULL
7048,276591,"Data Analyst",2022-06-04,0,NULL,NULL
7049,276598,"Data Scientist",2022-06-05,0,NULL,NULL
7050,276599,"Data Scientist",2022-06-05,0,NULL,NULL
7051,276600,"Data Scientist",2022-06-05,0,NULL,NULL
7052,276603,"Business Analyst",2022-06-05,0,NULL,NULL
7053,276606,"Data Analyst",2022-06-05,0,NULL,NULL
7054,276621,"Data Analyst",2022-06-05,0,NULL,NULL
7055,276622,"Business Analyst",2022-06-05,0,NULL,NULL
7056,276623,"Business Analyst",2022-06-05,0,NULL,NULL
7057,276628,"Data Analyst",2022-06-05,0,NULL,NULL
7058,276633,"Data Analyst",2022-06-05,0,NULL,NULL
7059,276639,"Data Scientist",2022-06-05,0,NULL,NULL
7060,276646,"Data Analyst",2022-06-05,0,NULL,NULL
7061,276648,"Data Analyst",2022-06-05,0,NULL,NULL
7062,276649,"Data Analyst",2022-06-05,0,NULL,NULL
7063,276656,"Data Analyst",2022-06-05,0,NULL,NULL
7064,276657,"Data Scientist",2022-08-16,0,NULL,NULL
7065,276667,"Data Analyst",2022-06-05,0,NULL,NULL
7066,276672,"Data Scientist",2022-07-01,0,NULL,NULL
7067,276672,"Data Analyst",2022-07-01,0,NULL,NULL
7068,276681,"Data Analyst",2022-06-05,0,NULL,NULL
7069,276684,"Data Analyst",2022-06-05,0,NULL,NULL
7070,276688,"Data Analyst",2022-06-05,0,NULL,NULL
7071,276695,"Data Scientist",2022-06-05,0,NULL,NULL
7072,276695,"Data Analyst",2022-06-05,0,NULL,NULL
7073,276700,"Data Analyst",2022-06-06,0,NULL,NULL
7074,276710,"Data Analyst",2022-06-06,0,NULL,NULL
7075,276721,"Data Analyst",2022-06-06,0,NULL,NULL
7076,276728,"Data Analyst",2022-06-06,0,NULL,NULL
